Source | Destination | Message Type | Message Length | TimeStamp
6546	|	7821	|	DATA		|		10		|	2022-11-22 01:18:44.350185
7821	|	6546	|	DATA		|		10		|	2022-11-22 01:18:44.350185
5035	|	6819	|	DATA		|		10		|	2022-11-22 01:18:44.514725
6819	|	5035	|	DATA		|		10		|	2022-11-22 01:18:44.514725
6546	|	7821	|	DATA		|		10		|	2022-11-22 01:18:44.551836
7821	|	6546	|	DATA		|		10		|	2022-11-22 01:18:44.551836
5035	|	6819	|	DATA		|		10		|	2022-11-22 01:18:44.716408
6819	|	5035	|	DATA		|		10		|	2022-11-22 01:18:44.716408
6546	|	7821	|	DATA		|		10		|	2022-11-22 01:18:44.753347
7821	|	6546	|	DATA		|		10		|	2022-11-22 01:18:44.753347
5035	|	6819	|	DATA		|		10		|	2022-11-22 01:18:44.917417
6819	|	5035	|	DATA		|		10		|	2022-11-22 01:18:44.917417
6546	|	7821	|	DATA		|		10		|	2022-11-22 01:18:44.954527
7821	|	6546	|	DATA		|		10		|	2022-11-22 01:18:44.954527
5035	|	6819	|	DATA		|		10		|	2022-11-22 01:18:45.118606
6819	|	5035	|	DATA		|		10		|	2022-11-22 01:18:45.118606
6546	|	7821	|	DATA		|		10		|	2022-11-22 01:18:45.155933
